doy,pond,station,water_depth_m,stand_height_m,biomass_point,biomass_gDW,water_volume_m3,biomass_gDWperM3
129,F,Deep,1.85,0.5,F2,,0.74,
143,F,Deep,2.10,1.0,F2,,0.84,
150,F,Deep,2.00,1.5,F2,,0.8,
157,F,Deep,1.80,1.5,F2,9.5,0.72,13.2
166,F,Deep,1.75,1.5,F2,,0.7,
171,F,Deep,1.70,1.5,F2,9.1,0.68,13.4
178,F,Deep,1.65,1.5,F2,,0.66,
186,F,Deep,1.65,1.6,F2,39.0,0.66,59.1
192,F,Deep,1.55,1.45,F2,,0.62,
199,F,Deep,1.60,1,F2,48.3,0.64,75.5
206,F,Deep,1.60,1.6,F2,,0.64,
213,F,Deep,1.80,1.8,F2,6.4,0.72,8.9
220,F,Deep,1.70,1.4,F2,,0.68,
228,F,Deep,1.50,0,F2,19.5,0.6,32.5
234,F,Deep,1.40,0,F2,,0.56,
